lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
------------------------ -------- ------------------------ ---------------- ------------------------ -------- ------------------------
_calculateMetrics        10       TK_FUNID                 ~~~~             FUNCTION                 yes      TK_FUNID                
~~~~                     99       ~~~~                     ~~~~             OTHER_FUNCTIONS          no       FUNCTION                
input                    10       TK_INPUT                 ~~~~             INPUT_PAR                yes      TK_INPUT                
~~~~                     10       ~~~~                     ~~~~             FUNCTION                 no       INPUT_PAR               
parameter                10       TK_PARAMETER             ~~~~             INPUT_PAR                yes      TK_PARAMETER            
list                     10       TK_LIST                  ~~~~             INPUT_PAR                yes      TK_LIST                 
[                        10       TK_SQL                   ~~~~             INPUT_PAR                yes      TK_SQL                  
int                      10       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     10       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     10       ~~~~                     ~~~~             PARAMETER_LIST           no       DATA_TYPE               
~~~~                     10       ~~~~                     ~~~~             INPUT_PAR                no       PARAMETER_LIST          
b2c3                     10       TK_ID                    ~~~~             PARAMETER_LIST           yes      TK_ID                   
,                        10       TK_COMMA                 ~~~~             REMAINING_LIST           yes      TK_COMMA                
~~~~                     10       ~~~~                     ~~~~             PARAMETER_LIST           no       REMAINING_LIST          
real                     10       TK_REAL                  ~~~~             PRIMITIVE_DATATYPE       yes      TK_REAL                 
~~~~                     10       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     10       ~~~~                     ~~~~             PARAMETER_LIST           no       DATA_TYPE               
~~~~                     10       ~~~~                     ~~~~             REMAINING_LIST           no       PARAMETER_LIST          
c4d5                     10       TK_ID                    ~~~~             PARAMETER_LIST           yes      TK_ID                   
]                        10       TK_SQR                   ~~~~             INPUT_PAR                yes      TK_SQR                  
output                   10       TK_OUTPUT                ~~~~             OUTPUT_PAR               yes      TK_OUTPUT               
~~~~                     10       ~~~~                     ~~~~             FUNCTION                 no       OUTPUT_PAR              
parameter                10       TK_PARAMETER             ~~~~             OUTPUT_PAR               yes      TK_PARAMETER            
list                     10       TK_LIST                  ~~~~             OUTPUT_PAR               yes      TK_LIST                 
[                        10       TK_SQL                   ~~~~             OUTPUT_PAR               yes      TK_SQL                  
real                     10       TK_REAL                  ~~~~             PRIMITIVE_DATATYPE       yes      TK_REAL                 
~~~~                     10       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     10       ~~~~                     ~~~~             PARAMETER_LIST           no       DATA_TYPE               
~~~~                     10       ~~~~                     ~~~~             OUTPUT_PAR               no       PARAMETER_LIST          
d2                       10       TK_ID                    ~~~~             PARAMETER_LIST           yes      TK_ID                   
,                        10       TK_COMMA                 ~~~~             REMAINING_LIST           yes      TK_COMMA                
~~~~                     10       ~~~~                     ~~~~             PARAMETER_LIST           no       REMAINING_LIST          
int                      10       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
